Id,survive,fruit-shape,fruit-surface,fruit-color,bruises,fruit-odor,seed-spacing,seed-size,seed-color,stem-shape,stem-root,stem-surface-above-peel,stem-surface-below-peel,stem-color-above-peel,stem-color-below-peel,peel-quality,peel-type,spores,population,habitat
1,0,3,3,1,0,5,1,1,10,0,1,2,0,7,4,1,0,7,4,2
2,0,,3,,1,,,,,0,,2,,7,7,,,,,
3,0,,0,,1,,,,,1,,2,,6,3,,,,,
4,0,2,0,3,1,5,0,0,7,1,1,2,2,6,3,1,4,2,4,0
5,1,,3,,1,,,,,0,,2,,7,7,,,,,
6,0,,2,,0,,,,,1,,2,,7,7,,,,,
7,0,2,3,4,1,5,0,0,10,1,1,2,2,3,3,1,4,2,5,0
8,0,,0,,0,,,,,1,,2,,7,7,,,,,
9,0,,0,,0,,,,,1,,0,,7,7,,,,,
10,0,5,3,9,1,3,0,0,5,0,4,2,3,7,,1,4,2,5,1
11,0,5,3,2,1,5,0,0,10,1,1,2,2,,,1,4,3,4,0
12,0,2,0,3,,5,1,0,7,1,3,0,2,7,7,,0,2,3,1
13,0,2,2,0,1,5,0,0,10,0,0,2,2,2,7,2,0,7,1,6
14,0,,0,,1,,,,,1,,2,,6,3,,,,,
15,0,0,3,8,1,0,0,0,2,0,2,2,2,7,7,1,4,2,2,1
16,1,5,3,4,1,6,0,1,5,0,3,2,2,,7,1,4,2,3,5
17,1,,3,3,,2,0,0,2,0,1,1,1,0,6,1,2,1,4,4
18,0,5,0,8,0,5,1,0,7,1,3,0,2,7,7,1,0,2,3,1
19,0,5,2,4,0,5,1,0,3,1,3,2,0,,7,1,0,,0,1
20,1,5,0,9,0,2,0,0,2,0,1,1,1,0,4,1,2,1,5,0
21,0,,0,,0,,,,,1,,2,,7,7,,,,,
22,0,5,2,9,1,0,0,0,5,0,2,2,2,7,7,1,4,2,2,1
23,1,2,0,3,0,2,0,0,7,0,1,1,1,0,0,1,2,1,5,4
24,1,5,3,4,1,6,0,1,4,0,3,2,2,7,7,1,4,3,3,5
25,1,2,0,9,0,2,0,0,3,0,1,1,1,6,4,1,2,1,5,0
26,0,5,2,8,1,3,0,0,5,0,2,2,2,7,7,1,4,2,3,1
27,0,,3,,1,,,,,1,,2,,6,6,,,,,
28,0,,0,,1,,,,,1,,2,,3,,,,,,
29,0,,3,,1,,,,,1,,2,,7,7,,,,,
30,1,5,0,3,0,1,0,1,5,0,1,2,2,7,7,1,4,3,4,0
31,1,,3,,0,,,,,0,,1,,0,0,,,,,
32,0,5,2,4,0,5,1,0,3,1,3,0,0,7,7,1,0,2,0,1
33,0,5,3,8,1,0,0,0,5,0,2,2,2,7,7,1,4,3,3,1
34,0,2,3,4,1,5,0,0,7,1,1,2,2,3,6,1,4,2,5,0
35,0,2,3,3,1,5,0,0,10,1,1,2,2,7,7,1,4,3,4,0
36,0,5,3,9,1,3,0,0,5,0,4,2,3,7,7,1,4,3,5,4
37,0,,3,,0,,,,,0,,2,,7,7,,,,,
38,1,,0,,0,,,,,0,,1,,6,6,,,,,
39,1,,0,,0,,,,,0,,1,,0,0,,,,,
40,1,2,2,8,1,2,0,0,7,1,1,0,2,7,7,1,4,1,3,5
41,1,5,0,8,0,1,1,1,5,0,1,2,2,7,,1,4,3,3,0
42,1,2,3,9,0,5,0,1,10,0,0,1,3,7,8,1,0,7,4,0
43,0,,2,,0,,,,,1,,2,,7,7,,,,,
44,0,,2,,0,,,,,1,,0,,7,7,,,,,
45,1,,3,,1,,,,,0,,2,,7,7,,,,,
46,0,5,3,4,1,5,0,0,9,1,1,2,2,7,6,1,4,2,5,0
47,1,,3,,0,8,0,1,,1,0,1,1,6,7,1,0,7,4,2
48,1,5,3,4,0,7,0,1,0,1,0,2,1,6,,1,0,7,4,2
49,0,,0,,1,,,,,1,,2,,3,6,,,,,
50,0,5,2,8,1,3,1,1,5,1,1,2,2,7,7,1,4,3,4,0
51,1,2,2,8,1,2,0,0,10,1,1,0,2,7,7,1,4,1,3,1
52,1,5,2,8,1,2,0,0,10,,,2,0,7,7,1,4,1,4,1
53,0,2,0,2,1,5,0,0,7,1,1,2,2,3,6,1,4,2,4,0
54,0,,0,,0,,,,,1,,2,,7,7,,,,,
55,1,2,2,4,1,6,0,1,10,0,3,2,2,7,7,1,4,3,3,1
56,0,5,3,6,0,5,0,1,7,0,0,2,0,7,7,1,1,1,5,0
57,1,5,0,3,0,2,0,0,7,0,1,1,1,6,6,1,2,1,4,4
58,0,2,3,2,,5,0,0,10,1,1,2,2,3,6,1,4,3,4,0
59,1,5,3,8,1,6,0,1,4,,3,2,2,7,7,1,4,2,3,1
60,0,3,3,2,1,5,0,0,1,0,0,2,2,7,7,2,0,7,1,6
61,0,2,0,4,,5,0,0,9,1,1,2,2,3,3,1,4,3,4,0
62,1,2,2,8,1,2,0,0,10,1,1,2,2,7,7,1,4,1,4,1
63,0,2,3,4,1,5,0,0,10,1,1,2,2,6,6,1,4,3,5,0
64,0,2,0,4,1,5,0,0,10,1,1,2,2,6,7,1,4,3,4,0
65,0,0,3,8,1,3,0,0,4,0,2,2,2,7,7,1,4,2,2,3
66,0,,3,,1,,,,,0,,2,,7,7,,,,,
67,0,2,0,3,1,5,0,0,7,1,1,2,2,7,6,1,4,3,5,0
68,1,,2,,,,,,,0,,2,,7,7,,,,,
69,1,5,3,9,0,2,0,0,7,0,1,1,1,4,6,1,2,1,5,4
70,0,,0,,1,,,,,1,,2,,7,7,,,,,
71,0,2,2,8,1,3,1,1,5,1,1,2,2,7,7,1,4,6,4,0
72,1,5,0,9,0,2,0,0,2,0,1,1,1,0,6,1,2,1,5,4
73,0,5,0,8,0,5,1,0,5,1,3,2,2,7,7,1,0,2,3,1
74,0,2,3,9,1,3,0,0,10,0,4,2,3,7,7,1,4,2,5,4
75,1,2,0,3,0,2,0,0,7,0,1,1,1,0,0,1,2,1,5,1
76,0,5,0,4,1,5,0,0,5,1,1,2,2,6,6,1,4,2,5,0
77,0,5,3,3,1,5,0,0,9,1,1,2,2,7,7,1,4,3,5,0
78,1,,3,9,,2,0,0,2,0,1,1,1,6,0,1,2,1,5,4
79,0,2,0,2,1,5,0,0,5,1,1,2,2,6,3,1,4,2,4,0
80,0,2,0,4,1,5,0,0,9,1,1,2,2,7,6,1,4,3,5,0
81,0,2,3,9,1,3,0,0,5,0,4,2,3,7,7,1,4,3,3,1
82,0,5,0,3,0,5,1,0,7,1,3,0,0,7,7,1,0,2,3,1
83,1,,3,,0,,,,,0,,1,,4,6,,,,,
84,0,5,0,4,0,5,1,0,7,1,3,2,2,7,7,1,0,3,3,1
85,1,5,2,8,0,1,0,1,7,0,1,2,2,7,7,1,4,3,4,0
86,0,2,0,3,1,5,0,0,10,1,1,2,2,6,7,1,4,2,4,0
87,0,,0,,1,,,,,1,,2,,6,7,,,,,
88,0,4,0,4,0,5,0,1,4,0,3,2,2,7,7,1,4,2,5,5
89,1,2,0,9,0,2,0,0,3,0,1,1,1,0,0,1,2,1,4,0
90,1,2,3,4,1,6,0,1,5,0,3,2,2,7,7,1,4,2,4,5
91,0,5,0,4,1,5,0,0,9,1,1,2,2,3,6,1,4,2,4,0
92,1,2,0,9,0,2,0,0,2,0,1,1,1,0,0,1,2,1,4,1
93,1,5,0,3,0,2,0,0,3,0,1,1,1,4,4,1,2,1,5,1
94,0,,3,,1,0,0,0,10,0,4,2,3,7,7,1,4,2,5,4
95,1,2,2,0,1,2,,0,10,,1,2,2,7,7,1,,1,4,5
96,1,2,2,3,1,2,,,3,1,1,0,2,7,7,1,4,1,4,1
97,0,2,,2,1,5,0,0,7,1,1,2,2,6,7,1,4,2,5,0
98,1,2,,3,0,2,0,,7,0,1,1,1,0,0,1,2,,4,1
99,0,0,3,,1,3,0,0,4,0,2,,2,7,7,1,4,3,3,3
100,1,5,0,8,0,1,0,1,2,,1,2,2,7,7,1,,3,4,0
101,1,5,0,3,0,,0,0,7,0,1,1,1,0,0,1,,1,4,4
102,1,,3,,0,,,,,1,,2,,7,7,,,,,
103,1,2,2,0,1,2,0,0,,1,1,2,0,7,7,1,4,1,3,5
104,0,2,2,8,0,5,1,0,7,1,3,0,2,7,7,1,0,3,3,1
105,1,5,0,3,0,1,1,1,5,,1,2,2,7,7,1,4,3,4,0
106,1,2,2,0,1,2,0,0,3,1,1,0,0,7,7,1,4,1,3,5
107,1,5,3,8,1,6,0,1,10,0,3,2,2,7,7,1,4,3,4,1
108,1,5,3,9,0,2,0,0,2,0,1,1,1,4,0,1,2,1,4,0
109,0,5,0,3,1,5,0,0,10,1,1,2,2,3,7,1,4,3,4,0
110,0,,3,,1,,,,,1,,2,,6,7,,,,,
111,0,2,,3,0,5,1,0,4,1,3,0,0,7,7,1,0,2,3,1
112,0,5,3,2,1,5,0,0,7,1,1,2,2,7,6,1,4,3,4,0
113,1,5,3,9,0,2,0,0,2,0,1,1,1,0,4,1,2,1,5,4
114,0,2,2,4,0,5,1,0,7,1,3,2,0,7,7,1,0,2,3,1
115,1,,0,,0,,,,,0,,2,,7,7,,,,,
116,0,2,3,3,1,5,0,0,10,1,1,2,2,6,3,1,4,3,5,0
117,0,2,0,4,1,5,0,0,7,1,1,2,2,6,6,1,4,2,4,0
118,0,,3,,1,,,,,1,,2,,7,6,,,,,
119,0,5,3,2,1,5,0,0,9,1,1,2,2,6,3,1,4,3,5,0
120,1,2,2,3,1,2,0,0,10,1,1,2,0,7,7,1,4,1,3,1
121,1,5,2,8,1,2,0,0,3,1,1,0,2,7,7,1,4,1,4,1
122,0,,0,,1,,,,,1,,2,,3,3,,,,,
123,1,5,3,4,0,7,0,1,0,1,0,1,1,6,7,1,0,7,4,2
124,0,2,0,8,0,5,1,0,4,1,3,0,0,7,7,1,0,3,0,1
125,0,2,3,3,1,5,0,0,5,1,1,2,2,7,6,1,4,2,4,0
126,0,3,0,4,0,5,1,1,10,0,1,2,2,7,4,1,0,7,4,2
127,1,5,2,5,0,1,1,1,9,0,1,2,2,7,7,1,4,2,4,0
128,0,5,0,4,0,5,1,1,10,0,1,0,0,7,4,1,0,7,4,2
129,1,5,0,3,0,2,0,0,3,0,1,1,1,6,4,1,2,1,5,4
130,1,5,0,3,0,2,0,0,7,0,1,1,1,4,4,1,2,1,4,1
131,1,2,2,0,1,5,0,0,2,0,1,2,2,7,7,2,4,5,4,3
132,1,2,2,0,1,2,0,0,3,1,1,2,0,7,7,1,4,1,4,5
133,1,2,3,9,0,2,0,0,7,0,1,1,1,4,4,1,2,1,4,0
134,0,,0,,0,,,,,1,,0,,7,7,,,,,
135,1,,2,,1,,,,,0,,2,,7,7,,,,,
136,0,5,0,3,1,5,0,0,10,1,1,2,2,3,3,1,4,2,4,0
137,1,5,0,9,0,2,0,0,7,0,1,1,1,6,4,1,2,1,5,1
138,1,2,3,8,1,6,0,1,7,0,3,2,2,7,7,1,4,2,3,1
139,1,5,2,8,0,1,1,1,2,0,1,2,2,7,7,1,4,2,3,0
140,0,5,0,4,1,5,0,0,9,1,1,2,2,3,7,1,4,2,5,0
141,0,5,0,2,1,5,,,9,1,1,2,2,7,3,1,4,2,5,0
142,0,2,3,7,0,5,0,1,,0,0,2,0,7,7,1,1,1,4,0
143,0,2,0,2,1,5,0,0,9,1,,2,2,7,3,1,4,2,4,0
144,0,2,0,4,1,5,0,0,9,1,1,2,2,7,6,1,4,3,4,0
145,0,2,0,3,0,5,0,1,7,0,3,,2,7,7,1,4,2,5,5
146,0,,2,,1,,,,,0,,2,,7,7,,,,,
147,1,,3,,0,,,,,0,,1,,0,6,,,,,
148,0,,0,,1,,,,,1,,2,,3,6,,,,,
149,0,,3,,1,,,,,0,,2,,7,7,,,,,
150,0,3,2,5,1,5,0,0,10,0,0,2,2,2,7,2,0,7,1,6
151,1,5,0,9,0,2,0,0,2,0,1,1,1,0,6,1,2,1,4,1
152,0,,3,,1,,,,,0,,2,,7,7,,,,,
153,1,,3,,0,,,,,0,,1,,6,0,,,,,
154,0,,2,,1,,,,,0,,2,,7,7,,,,,
155,0,5,3,2,1,5,0,0,7,1,1,2,2,3,7,1,4,2,5,0
156,1,5,3,9,0,2,0,0,3,0,1,,1,4,4,1,2,1,5,0
157,1,2,3,9,0,2,0,0,2,0,1,1,1,6,0,1,2,1,4,4
158,1,0,3,0,1,5,0,0,8,0,1,2,,7,7,2,4,5,4,1
159,0,5,2,4,0,5,1,0,4,1,3,2,2,7,7,1,0,,3,1
160,0,5,2,9,1,3,,0,4,0,2,,2,7,7,1,4,2,3,
161,0,,3,,1,,,,,1,,2,,6,6,,,,,
162,0,2,3,4,1,5,0,0,7,1,1,2,2,3,7,1,4,2,5,0
163,1,5,3,9,0,2,0,0,3,0,1,1,1,6,6,1,2,1,5,4
164,0,5,0,3,1,5,0,0,10,1,1,2,2,6,7,1,4,2,4,0
165,0,5,2,4,0,5,1,0,5,1,3,2,2,7,7,1,0,3,0,1
166,1,2,3,3,0,2,0,0,7,0,1,1,1,4,4,1,2,1,4,0
167,1,5,3,4,0,8,0,1,0,1,0,1,1,6,7,1,0,7,4,4
168,0,,3,,1,,,,,0,,2,,7,7,,,,,
169,0,5,3,2,1,5,0,0,7,1,1,2,2,3,7,1,4,3,4,0
170,0,2,2,4,0,5,1,0,7,1,3,2,2,7,7,1,0,3,3,1
171,1,0,2,8,1,5,0,0,8,0,1,2,2,7,7,2,4,5,4,3
172,0,5,2,8,1,3,0,0,4,0,2,2,2,7,7,1,4,3,3,3
173,1,2,0,3,0,2,0,0,2,0,1,1,1,6,4,1,2,1,5,1
174,1,5,0,3,0,2,0,0,7,0,1,1,1,0,6,1,2,1,5,4
175,1,5,2,8,1,2,0,0,10,1,1,2,2,7,7,1,4,1,4,1
176,0,,0,,0,,,,,1,,0,,7,7,,,,,
177,1,,2,,0,,,,,0,,2,,7,7,,,,,
178,0,5,2,9,1,0,0,0,5,0,2,2,2,7,7,1,4,3,3,1
179,0,,0,,1,,,,,1,,2,,6,6,,,,,
180,0,2,3,5,1,5,0,0,10,0,0,2,2,2,2,2,0,7,1,6
181,1,,0,,0,,,,,0,,1,,6,6,,,,,
182,1,2,3,3,0,2,0,0,3,0,1,1,1,0,0,1,2,1,5,1
183,0,,3,,1,,,,,1,,2,,7,7,,,,,
184,0,2,3,9,1,3,0,0,10,0,4,2,3,7,7,1,4,3,3,1
185,1,2,0,3,0,2,0,0,7,0,1,1,1,6,6,1,2,1,5,0
